Val_A,Val_B,Val_Bprime,EN_A,EN_B,EN_Bprime,Shannon_A,Shannon_B,Shannon_Bprime,Tolerance_Factor,Octahedral_Mismatch,EN_avg,EN_diff,Val_avg,Formation Energy (eV/atom),Energy Above Hull (eV),Band Gap (eV),Total Magnetization (Î¼B),Material ID,3D_Volume_Per_Atom,3D_Density,3D_Crystal_Symmetry
2,7,8,0.89,1.55,2.2,1.4742857142857142,0.586,0.521,1.0404028251361004,0.0332736114495655,1.875,0.6500000000000001,7.5,-2.4999615022931,0.190924160466654,0.0,2.0,mp-1227855,13.398504511114245,6.546686119153508,216.0
2,7,8,0.89,1.55,2.2,1.4742857142857142,0.586,0.521,1.0404028251361004,0.0332736114495655,1.875,0.6500000000000001,7.5,-2.5672965662931,0.123589096466654,0.320999999999999,1.99999669999999,mp-1272796,13.535949064357677,6.480210813684061,8.0
2,7,8,0.89,1.55,2.2,1.4742857142857142,0.586,0.521,1.0404028251361004,0.0332736114495655,1.875,0.6500000000000001,7.5,-2.5412320577931,0.149653604966655,0.0,15.8583723,mp-690567,13.547770127561009,6.474556526603738,7.0
2,6,5,0.89,1.66,1.6,1.4742857142857142,0.521,0.677142857142857,1.016685492009933,0.0781076928183261,1.63,0.0599999999999998,5.5,-3.0665843775,0.127025262016658,0.0,1.999924,mp-1227851,13.284017448733431,6.4642854750256085,216.0
2,8,10,0.89,2.2,1.91,1.4742857142857142,0.521,0.5714285714285715,1.0442976057771003,0.0259111094666292,2.055,0.2900000000000002,9.0,-2.37273658949999,0.039392856166665,0.0,5.0061727,mp-622618,12.874085056937185,6.8617998466805314,82.0
2,7,5,0.89,1.55,1.5,1.4742857142857142,0.586,0.6940000000000001,0.9962877053600812,0.0529411764446367,1.525,0.05,6.0,-3.18655668902643,0.123896606166656,1.0025,5.00002,mp-41283,14.054609987908744,7.1848196168695635,216.0
2,6,4,0.89,1.66,1.54,1.4742857142857142,0.521,0.6341666666666667,1.0277326293433893,0.0572247271212045,1.6,0.1199999999999998,5.0,-3.29082848533333,0.053622175750016,2.2522,1e-07,mp-1227861,12.631787093241524,6.205987755507997,216.0
2,6,4,0.89,1.66,1.54,1.4742857142857142,0.521,0.6341666666666667,1.0277326293433893,0.0572247271212045,1.6,0.1199999999999998,5.0,-3.29738807508333,0.047062586000015,1.22499999999999,11.9988121,mp-39208,12.64526162410345,6.199374782520477,51.0
2,8,4,0.89,1.83,1.54,1.4742857142857142,0.6216666666666666,0.6341666666666667,1.002224081658698,0.0061639613694692,1.685,0.29,6.0,-3.11263003233333,0.059971858499999,1.78379999999999,0.0,mp-1227842,12.772054781082703,6.187872058780649,216.0
2,7,6,0.89,1.55,1.7,1.4742857142857142,0.586,0.562,1.0295982365304013,0.012158054705087,1.625,0.1499999999999999,6.5,-2.19195733145976,0.194802626833336,0.0,4.5399525,mp-1523111,13.849151529817894,7.037273486631841,216.0
2,5,4,0.89,1.6,1.54,1.4742857142857142,0.677142857142857,0.6341666666666667,0.9887005136293856,0.0209063269045539,1.57,0.06,4.5,-3.13772750847126,0.030822862999997,1.56509999999999,0.0007635,mp-1227835,12.982647548081314,5.078915732558073,216.0
2,6,5,0.89,1.66,1.6,1.4742857142857142,0.521,0.677142857142857,1.016685492009933,0.0781076928183261,1.63,0.0599999999999998,5.5,-2.71384755499999,0.180641513499987,0.0,4.7459269,mp-1519828,13.602082807712364,5.75157154546209,225.0
2,5,6,0.89,1.6,1.7,1.4742857142857142,0.677142857142857,0.562,1.0063654546574294,0.0570135106175924,1.65,0.0999999999999998,5.5,-2.42001267766666,0.1861718270278,0.0,2.0,mp-1520199,14.052483822007725,7.3841079308386135,216.0
2,8,9,0.89,1.83,1.88,1.4742857142857142,0.6216666666666666,0.6255555555555555,1.0043564733210566,0.0019217570340538,1.855,0.0499999999999998,8.5,-2.33368072575,0.0784512655,0.0,6.0003537,mp-1227838,12.10178877369307,6.755660589674415,99.0
2,4,4,0.89,1.33,1.3,1.4742857142857142,0.7466666666666667,0.72,0.9527001182650252,0.0124999999941404,1.315,0.03,4.0,-3.52449929975,0.195317215612494,0.0,0.000187699999999,mp-1516816,14.684412959787846,7.319548525027483,216.0
