Val_A,Val_B,Val_Bprime,EN_A,EN_B,EN_Bprime,Shannon_A,Shannon_B,Shannon_Bprime,Tolerance_Factor,Octahedral_Mismatch,Formation Energy (eV/atom),Space Group
2,8,6,1.0,1.83,1.7,1.155,0.6216666666666666,0.562,0.9070326292144222,0.029955652231634617,-2.78816411,P1
2,6,7,1.0,1.66,1.55,1.155,0.521,0.586,0.924831238944292,0.03327361144956557,-2.8557681932931,Pc
2,8,7,1.0,1.83,1.55,1.155,0.6216666666666666,0.586,0.9016008443620231,0.01779921815630085,-2.6976986797931,Pc
2,8,7,1.0,1.83,1.55,1.155,0.6216666666666666,0.586,0.9016008443620231,0.01779921815630085,-2.6905718437931,Pc
2,7,6,1.0,1.55,2.16,1.155,0.586,0.58,0.911073033427838,0.003025718606643502,-2.8261777087931,Pc
2,7,5,1.0,1.55,1.6,1.155,0.586,0.677142857142857,0.8892908218212245,0.04486323041178241,-3.2073120405431,Pc
2,7,5,1.0,1.55,1.6,1.155,0.586,0.677142857142857,0.8892908218212245,0.04486323041178241,-3.1625631067931,Pc
2,5,9,1.0,1.6,1.88,1.155,0.677142857142857,0.6255555555555555,0.8807168568457358,0.025147986214382058,-3.053297722,P1
2,6,5,1.0,1.66,1.5,1.155,0.521,0.6940000000000001,0.8999540848295219,0.08617683681884095,-3.29182253648333,Pc
2,8,5,1.0,1.83,1.5,1.155,0.6216666666666666,0.6940000000000001,0.877941763332387,0.035150238907353915,-3.21720305373333,P1
2,6,4,1.0,1.66,1.54,1.155,0.521,0.6341666666666667,0.9135684928333259,0.05722472712120457,-3.37671719458333,Pc
2,8,4,1.0,1.83,1.54,1.155,0.6216666666666666,0.6341666666666667,0.8908935238800106,0.006163961369469266,-3.20054750483333,Pc
2,7,4,1.0,1.55,1.54,1.155,0.586,0.6341666666666667,0.8987974753763524,0.02396252227156638,-3.26121205637643,Pc
2,6,5,1.0,1.66,1.63,1.155,0.521,0.576875,0.9269962865798125,0.02866946732326237,-3.06073793449999,Pc
2,8,5,1.0,1.83,1.63,1.155,0.6216666666666666,0.576875,0.9036583714275724,0.022404001447659076,-2.888186702,Pc
2,8,5,1.0,1.83,1.63,1.155,0.6216666666666666,0.576875,0.9036583714275724,0.022404001447659076,-2.7651151875,F-43m
2,8,5,1.0,1.83,1.63,1.155,0.6216666666666666,0.576875,0.9036583714275724,0.022404001447659076,-2.87007376883333,P1
2,8,7,1.0,1.83,1.55,1.155,0.6216666666666666,0.586,0.9016008443620231,0.01779921815630085,-2.0965567557931,Pc
2,7,9,1.0,1.55,2.2,1.155,0.586,0.625,0.9008515708275395,0.019446522054626592,-1.76091609532567,Pc
2,7,6,1.0,1.55,1.7,1.155,0.586,0.562,0.9152268618462339,0.012158054705087004,-2.313512528659,Pc
2,8,4,1.0,1.83,1.3,1.155,0.6216666666666666,0.72,0.8724303381801499,0.047484909433810236,-3.11856206874999,F-43m
2,4,4,1.0,1.3,1.54,1.155,0.72,0.6341666666666667,0.8698051716669609,0.041323971895852095,-3.52450232808333,F-43m
2,7,4,1.0,1.55,1.54,1.155,0.586,0.6341666666666667,0.8987974753763524,0.02396252227156638,-3.08497643187643,Pc
2,6,4,1.0,1.66,1.33,1.155,0.521,0.7466666666666667,0.8883018070819494,0.11095632216129332,-3.20695342975,F-43m
2,8,4,1.0,1.83,1.54,1.155,0.6216666666666666,0.6341666666666667,0.8908935238800106,0.006163961369469266,-3.12357412141666,P4_2/nmc
2,7,4,1.0,1.55,1.54,1.155,0.586,0.6341666666666667,0.8987974753763524,0.02396252227156638,-3.23747311970977,P4_2mc
